Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C2,C5,C7,C9",C_0402_1005Metric,C1525,4
10k,"R11,R5",C_0402_1005Metric,C25744,2
10nF,C4,C_0402_1005Metric,C15195,1
10uF,C1,C_0402_1005Metric,C15525,1
1k,"R1,R4",C_0402_1005Metric,C11702,2
1uF,"C10,C11,C3",C_0402_1005Metric,C52923,3
2.2nF,C6,C_0402_1005Metric,C84703,1
27,"R16,R17",R_0402_1005Metric,C25100,2
2k,R7,C_0402_1005Metric,C4109,1
4.7k,"R2,R3",C_0402_1005Metric,C25900,2
5.1k,"R12,R6",R_0402_1005Metric,C25905,2
AP2112K-3.3,U5,SOT_RG1_DIO,C3021085,1
B2B-PH-K-S,J3,JST_B2B-PH-K-S,C131337,1
BOOT,SW2,SW_SPST_B3U-1000P,C231329,1
ESP32-S3-WROOM-1-N8,U4,ESP32-S3-WROOM-1,C2913198,1
HNB09A03,LS1,HNB09A03,C96102,1
IRLML6244,Q1,SOT-23,C5123965,1
LED,D1,LED_0603_1608Metric,C2288,1
LED,D2,LED_0603_1608Metric,C2290,1
MBRS130LT3G,CR1,DIODE_SMB_2L_ONS,C51771,1
MPU-6050,U2,InvenSense_QFN-24_4x4mm_P0.5mm,C24112,1
MS5611-01BA,U1,LGA-8_3x5mm_P1.25mm,C15639,1
RESET,SW1,SW_SPST_B3U-1000P,C231329,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_Palconn_UTC16-G,C2765186,1
