Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10uF,C15525
"C10, C11, C3",0402,3,1uF,C52923
"C2, C5, C7, C8",0402,4,0.1uF,C1525
C4,0402,1,10nF,C15195
C6,0402,1,2.2nF,C84703
CR1,DIODE_SMB_2L_ONS,1,MBRS130LT3G,C51771
D1,0603,1,LED,C2290
D2,0603,1,LED,C2286
J3,JST_B2B-PH-K-S,1,B2B-PH-K-S,C131337
J4,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C2765186
LS1,HNB09A03,1,HNB09A03,C96102
Q1,SOT-23,1,IRLML6244,C5123965
R1,0402,1,2k,C4109
"R11, R5",0402,2,10k,C25744
"R12, R6",0402,2,5.1k,C25905
"R16, R17",0402,2,27,C25100
"R2, R3",0402,2,4.7k,C25900
R4,0402,1,1k,C11702
R7,0402,1,1.5k,C25867
SW1,SW_SPST_B3U-1000P,1,RESET,C231329
SW2,SW_SPST_B3U-1000P,1,BOOT,C231329
U2,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U3,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,C15639
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8,C2913198
U5,SOT_RG1_DIO,1,AP2112K-3.3,C3021085
